customer_state,product_category_name,Count_industry,Average Price per state
RJ,bebes,374,117.04491978609626
ES,bebes,62,135.01048387096773
PI,bebes,12,357.7575
CE,bebes,32,143.695
PB,bebes,13,154.04384615384615
MA,bebes,27,195.38074074074072
PA,bebes,45,222.2811111111111
MS,bebes,31,148.7167741935484
RO,bebes,11,201.3081818181818
AL,bebes,7,104.11
SE,bebes,8,180.93625
RN,bebes,22,377.1081818181818
AC,bebes,3,232.61333333333334
RR,bebes,2,494.435
TO,bebes,7,311.3757142857143
AM,bebes,5,131.538
SP,eletronicos,1039,52.93538017322425
CE,eletronicos,46,81.93260869565218
RJ,eletronicos,444,61.876126126126124
MG,eletronicos,301,70.45661129568106
MS,eletronicos,23,71.43130434782609
PR,eletronicos,187,59.91663101604278
BA,eletronicos,110,60.518454545454546
PE,eletronicos,39,49.69384615384615
RS,eletronicos,168,54.044642857142854
SC,eletronicos,125,48.15896
RN,eletronicos,14,26.315714285714282
DF,eletronicos,51,48.19686274509804
ES,eletronicos,82,47.591219512195124
AC,eletronicos,4,121.8875
GO,eletronicos,34,25.669117647058822
MT,eletronicos,26,37.91000000038461
PA,eletronicos,28,102.71000000000001
PI,eletronicos,23,63.68391304347826
AL,eletronicos,14,24.611428571428572
SE,eletronicos,19,58.202105263157904
PB,eletronicos,14,184.88714285714286
RO,eletronicos,6,40.875
TO,eletronicos,7,21.18285714285714
AM,eletronicos,4,14.7375
MA,eletronicos,13,29.45307692307692
AP,eletronicos,4,151.8875
RR,eletronicos,2,13.65
SP,papelaria,1097,85.44525068368277
BA,papelaria,78,95.19166666666666
DF,papelaria,50,100.21979999999999
RS,papelaria,158,86.17664556962025
RJ,papelaria,336,100.0310119047619
GO,papelaria,51,92.32980392156863
CE,papelaria,37,80.00891891891892
AL,papelaria,9,74.82555555555557
PR,papelaria,136,88.41169117647058
PE,papelaria,51,90.3743137254902
MG,papelaria,287,89.54909407665505
SC,papelaria,95,95.53589473684211
ES,papelaria,53,106.94622641509433
MA,papelaria,20,72.7945
MT,papelaria,30,107.602
PB,papelaria,20,116.499
PI,papelaria,11,109.87272727272726
SE,papelaria,3,69.60000000000001
PA,papelaria,24,110.95875000000001
AM,papelaria,6,116.49833333333333
MS,papelaria,22,78.54545454545455
RN,papelaria,15,238.734
RR,papelaria,2,64.99
AC,papelaria,2,264.45
RO,papelaria,9,92.51111111111112
AP,papelaria,2,117.45
TO,papelaria,3,92.26666666666667
RS,fashion_bolsas_e_acessorios,86,101.97860465116278
SP,fashion_bolsas_e_acessorios,900,66.16626666668888
MG,fashion_bolsas_e_acessorios,279,88.95759856623656
GO,fashion_bolsas_e_acessorios,46,69.79739130434783
PR,fashion_bolsas_e_acessorios,122,66.22114754098361
AL,fashion_bolsas_e_acessorios,5,52.739999999999995
RJ,fashion_bolsas_e_acessorios,212,83.89415094292453
DF,fashion_bolsas_e_acessorios,50,79.6396
SC,fashion_bolsas_e_acessorios,83,77.52819277108433
BA,fashion_bolsas_e_acessorios,87,85.8596551724138
PA,fashion_bolsas_e_acessorios,33,68.07121212121211
MS,fashion_bolsas_e_acessorios,15,72.032
MA,fashion_bolsas_e_acessorios,28,84.45428571428572
SE,fashion_bolsas_e_acessorios,9,57.27777777777778
PE,fashion_bolsas_e_acessorios,47,62.21744680851064
CE,fashion_bolsas_e_acessorios,32,86.17281249999999
TO,fashion_bolsas_e_acessorios,12,35.54916666666667
MT,fashion_bolsas_e_acessorios,15,46.284666666666666
PB,fashion_bolsas_e_acessorios,21,86.22190476190477
ES,fashion_bolsas_e_acessorios,53,73.43245283018868
PI,fashion_bolsas_e_acessorios,5,55.56
RO,fashion_bolsas_e_acessorios,9,70.27666666666667
AM,fashion_bolsas_e_acessorios,1,699.99
AC,fashion_bolsas_e_acessorios,1,89.9
RN,fashion_bolsas_e_acessorios,8,181.97375
RN,pet_shop,13,177.0523076923077
MT,pet_shop,16,183.5125
MG,pet_shop,262,126.10736641221374
SP,pet_shop,938,98.90982942427506
RJ,pet_shop,228,119.5819298245614
RS,pet_shop,101,119.44069306930693
GO,pet_shop,28,167.59392857142856
MA,pet_shop,10,84.644
PR,pet_shop,94,91.96840425542553
PA,pet_shop,12,193.31500000000003
SC,pet_shop,86,106.47674418604652
BA,pet_shop,61,92.89639344262295
ES,pet_shop,26,83.50307692269232
